text,emotion
My best friend moved away. Seriously.,sadness
The meeting is scheduled at 3 PM. This just happened.,neutral
Why do people always interrupt me? I'm still processing it.,anger
What if I fail the exam tomorrow? Honestly.,fear
What if I fail the exam tomorrow? I'm not joking.,fear
I can't believe I acted like that. It really happened.,shame
"Wow, I didn’t expect that at all! I'm still processing it.",surprise
I'm so proud of my accomplishments. It really happened.,joy
Everyone was watching when I slipped. I still can't believe it.,shame
Nothing seems to cheer me up lately..,sadness
This gift is such a wonderful surprise.,surprise
Nothing seems to cheer me up lately. I couldn't believe it.,sadness
The thought of losing my job terrifies me. It was unexpected.,fear
This surprise party is amazing!.,joy
I'm mad at myself for forgetting that. It's real.,anger
Why do people always interrupt me? That really hit me.,anger
This gift is such a wonderful surprise. It was unexpected.,surprise
I'm furious about how they treated me. Can you believe it?,anger
I'm furious about how they treated me. I'm speechless.,anger
I'm really scared of the dark. Honestly.,fear
That’s the most disgusting thing ever.!,disgust
This situation makes me sick. This just happened.,disgust
What a beautiful sunny day! It was unexpected.,joy
Why do people always interrupt me? I still can't believe it.,anger
I can't breathe when I'm anxious. It really happened.,fear
I can't stand people who lie. I'm speechless.,disgust
The meeting is scheduled at 3 PM. Honestly.,neutral
She wore a red dress to the event. I'm telling the truth.,neutral
Everyone was watching when I slipped. I'm not joking.,shame
That food smelled terrible.,disgust
That's unbelievable news! That really hit me.,surprise
I just want to be alone and cry. No way!,sadness
The thought of losing my job terrifies me. That really hit me.,fear
I miss my family so much.!,sadness
I'm so proud of my accomplishments. I'm not joking.,joy
I'm afraid of what might happen next. Can you believe it?,fear
This surprise party is amazing! It's real.,joy
Nothing seems to cheer me up lately. I couldn't believe it.,sadness
I'm so proud of my accomplishments..,joy
The sight of that was revolting. It's real.,disgust
I had no idea you were coming! It left me stunned.,surprise
I feel so ashamed of myself. It was unexpected.,shame
Nothing seems to cheer me up lately. I'm not joking.,sadness
I'm so proud of my accomplishments.!,joy
I feel so ashamed of myself. It's real.,shame
Nothing seems to cheer me up lately. That really hit me.,sadness
Why do people always interrupt me? I'm not joking.,anger
The meeting is scheduled at 3 PM. I couldn't believe it.,neutral
I'm furious about how they treated me. It left me stunned.,anger
That food smelled terrible. I feel overwhelmed.,disgust
I miss my family so much. That really hit me.,sadness
I miss my family so much. I'm still processing it.,sadness
I'm so proud of my accomplishments..,joy
This is so frustrating and annoying! It left me stunned.,anger
Today has been really hard for me.!,sadness
The thought of losing my job terrifies me. It's real.,fear
My best friend moved away. That really hit me.,sadness
This surprise party is amazing! I'm still processing it.,joy
The meeting is scheduled at 3 PM. I'm speechless.,neutral
What a beautiful sunny day! I'm not joking.,joy
Everyone was watching when I slipped. Can you believe it?,shame
This gift is such a wonderful surprise. Honestly.,surprise
That was completely unfair and wrong. No way!,anger
She wore a red dress to the event. Can you believe it?,neutral
I feel so ashamed of myself. I'm not joking.,shame
I had cereal for breakfast today. I'm still processing it.,neutral
I miss my family so much. I feel overwhelmed.,sadness
What if I fail the exam tomorrow?!,fear
Today has been really hard for me.!,sadness
I had cereal for breakfast today. It was unexpected.,neutral
I'm so proud of my accomplishments. Can you believe it?,joy
Why do people always interrupt me? No way!,anger
I wish I could take back my words. I'm speechless.,shame
This surprise party is amazing!.,joy
I'm mad at myself for forgetting that. It really happened.,anger
This is so frustrating and annoying! It really happened.,anger
This surprise party is amazing! Honestly.,joy
The sight of that was revolting. I still can't believe it.,disgust
I can't stand people who lie. I feel overwhelmed.,disgust
What if I fail the exam tomorrow? This just happened.,fear
I'm afraid of what might happen next. I still can't believe it.,fear
I'm afraid of what might happen next. I still can't believe it.,fear
I just got a promotion at work! Honestly.,joy
I'm so proud of my accomplishments. I still can't believe it.,joy
I had cereal for breakfast today. This just happened.,neutral
That was completely unfair and wrong. I feel overwhelmed.,anger
I'm so proud of my accomplishments.!,joy
The meeting is scheduled at 3 PM. I'm not joking.,neutral
I miss my family so much. That really hit me.,sadness
I wish I could take back my words. I couldn't believe it.,shame
I'm afraid of what might happen next. I'm telling the truth.,fear
I feel so ashamed of myself.,shame
"Wow, I didn’t expect that at all!.",surprise
I feel embarrassed about what I did. I'm speechless.,shame
I just got a promotion at work! I'm speechless.,joy
I'm really scared of the dark. It left me stunned.,fear
This surprise party is amazing! I couldn't believe it.,joy
I’m just reading a book now.!,neutral
This is so frustrating and annoying! This just happened.,anger
My best friend moved away. I'm telling the truth.,sadness
I'm really scared of the dark..,fear
The thought of losing my job terrifies me. Honestly.,fear
She wore a red dress to the event. It's real.,neutral
Laughing with friends is the best feeling. I'm still processing it.,joy
This surprise party is amazing! I couldn't believe it.,joy
I'm furious about how they treated me..,anger
This surprise party is amazing! I'm speechless.,joy
This is so frustrating and annoying! It was unexpected.,anger
This situation makes me sick. Can you believe it?,disgust
What a beautiful sunny day! It really happened.,joy
I can't stand people who lie. It really happened.,disgust
Laughing with friends is the best feeling.!,joy
That food smelled terrible. Honestly.,disgust
That food smelled terrible. I'm telling the truth.,disgust
That food smelled terrible.,disgust
The weather is moderate and cloudy. Honestly.,neutral
That was completely unfair and wrong.,anger
I'm furious about how they treated me. It really happened.,anger
That’s the most disgusting thing ever.!,disgust
That was completely unfair and wrong. It left me stunned.,anger
I'm furious about how they treated me. This just happened.,anger
I feel embarrassed about what I did. I feel overwhelmed.,shame
I'm mad at myself for forgetting that. Can you believe it?,anger
I’m just reading a book now. This just happened.,neutral
I can't believe I acted like that. I'm telling the truth.,shame
I'm mad at myself for forgetting that. It really happened.,anger
I’m just reading a book now. I'm not joking.,neutral
I miss my family so much. I'm still processing it.,sadness
I can't breathe when I'm anxious. I'm speechless.,fear
I'm mad at myself for forgetting that. Seriously.,anger
Why do people always interrupt me? Can you believe it?,anger
I miss my family so much. This just happened.,sadness
That's unbelievable news! No way!,surprise
Everyone was watching when I slipped. Honestly.,shame
Nothing seems to cheer me up lately. No way!,sadness
What if I fail the exam tomorrow? It really happened.,fear
I'm furious about how they treated me. No way!,anger
This is so frustrating and annoying! That really hit me.,anger
What if I fail the exam tomorrow? It really happened.,fear
I can't believe I acted like that. It left me stunned.,shame
I just got a promotion at work! Can you believe it?,joy
I had no idea you were coming! Can you believe it?,surprise
Nothing seems to cheer me up lately. Seriously.,sadness
That's unbelievable news!!,surprise
I can't believe I acted like that. Seriously.,shame
Laughing with friends is the best feeling. It left me stunned.,joy
I'm mad at myself for forgetting that. It's real.,anger
"Wow, I didn’t expect that at all! Can you believe it?",surprise
I miss my family so much.,sadness
I'm furious about how they treated me.!,anger
I had no idea you were coming! This just happened.,surprise
I can't believe I acted like that. I'm speechless.,shame
My best friend moved away. That really hit me.,sadness
This gift is such a wonderful surprise.!,surprise
That’s the most disgusting thing ever. It left me stunned.,disgust
What a beautiful sunny day!!,joy
I can't breathe when I'm anxious. This just happened.,fear
Everyone was watching when I slipped.!,shame
I feel embarrassed about what I did. Can you believe it?,shame
Everyone was watching when I slipped. I'm still processing it.,shame
I'm afraid of what might happen next. It left me stunned.,fear
That's unbelievable news! Can you believe it?,surprise
I'm so proud of my accomplishments.!,joy
I'm mad at myself for forgetting that. That really hit me.,anger
I miss my family so much.,sadness
I just got a promotion at work! I'm speechless.,joy
My best friend moved away.!,sadness
This gift is such a wonderful surprise. That really hit me.,surprise
She wore a red dress to the event.,neutral
Why do people always interrupt me? I'm telling the truth.,anger
She wore a red dress to the event. I'm not joking.,neutral
I can't breathe when I'm anxious. It was unexpected.,fear
This surprise party is amazing! It's real.,joy
You threw me a party? I'm shocked! Can you believe it?,surprise
I'm afraid of what might happen next. No way!,fear
I'm mad at myself for forgetting that..,anger
The sight of that was revolting. It's real.,disgust
My best friend moved away. It left me stunned.,sadness
I feel embarrassed about what I did. I'm not joking.,shame
I feel so ashamed of myself. Honestly.,shame
You threw me a party? I'm shocked! It really happened.,surprise
This situation makes me sick. No way!,disgust
Today has been really hard for me. I'm speechless.,sadness
Everyone was watching when I slipped. No way!,shame
I'm so proud of my accomplishments.,joy
She wore a red dress to the event. It's real.,neutral
I'm so proud of my accomplishments. I still can't believe it.,joy
That's unbelievable news! That really hit me.,surprise
This is so frustrating and annoying! I still can't believe it.,anger
I'm really scared of the dark. It was unexpected.,fear
I'm so proud of my accomplishments. I couldn't believe it.,joy
Laughing with friends is the best feeling. I still can't believe it.,joy
The thought of losing my job terrifies me.,fear
That's unbelievable news! No way!,surprise
I can't stand people who lie.,disgust
She wore a red dress to the event. Can you believe it?,neutral
I feel embarrassed about what I did..,shame
I had cereal for breakfast today. Seriously.,neutral
I can't believe I acted like that. No way!,shame
That was completely unfair and wrong.,anger
I feel so ashamed of myself..,shame
I'm really scared of the dark. It left me stunned.,fear
I had cereal for breakfast today.!,neutral
I can't believe I acted like that. Can you believe it?,shame
This is so frustrating and annoying!.,anger
She wore a red dress to the event. I'm not joking.,neutral
What if I fail the exam tomorrow? It really happened.,fear
Nothing seems to cheer me up lately..,sadness
I just want to be alone and cry. I still can't believe it.,sadness
What if I fail the exam tomorrow? I'm still processing it.,fear
I just want to be alone and cry.,sadness
That food smelled terrible. It's real.,disgust
You threw me a party? I'm shocked! It left me stunned.,surprise
I feel so ashamed of myself.,shame
Everyone was watching when I slipped. It really happened.,shame
Nothing seems to cheer me up lately. I'm not joking.,sadness
I'm mad at myself for forgetting that. I'm not joking.,anger
Everyone was watching when I slipped. Honestly.,shame
I'm furious about how they treated me. I'm speechless.,anger
I miss my family so much. Seriously.,sadness
I'm really scared of the dark.!,fear
I just got a promotion at work! I'm telling the truth.,joy
This surprise party is amazing! Can you believe it?,joy
Why do people always interrupt me? It really happened.,anger
That food smelled terrible. That really hit me.,disgust
I'm so proud of my accomplishments. I'm telling the truth.,joy
I'm really scared of the dark. I'm not joking.,fear
What if I fail the exam tomorrow? That really hit me.,fear
What if I fail the exam tomorrow? I'm speechless.,fear
That was completely unfair and wrong. Honestly.,anger
What if I fail the exam tomorrow? This just happened.,fear
I miss my family so much.!,sadness
This gift is such a wonderful surprise.,surprise
That food smelled terrible. I couldn't believe it.,disgust
That was completely unfair and wrong. That really hit me.,anger
What if I fail the exam tomorrow? Can you believe it?,fear
I can't breathe when I'm anxious.!,fear
Nothing seems to cheer me up lately. I still can't believe it.,sadness
I'm so proud of my accomplishments. This just happened.,joy
What if I fail the exam tomorrow?,fear
I feel embarrassed about what I did. It was unexpected.,shame
Everyone was watching when I slipped.!,shame
I can't breathe when I'm anxious. That really hit me.,fear
I just got a promotion at work! It was unexpected.,joy
I'm afraid of what might happen next.,fear
The meeting is scheduled at 3 PM. Seriously.,neutral
You threw me a party? I'm shocked! I'm not joking.,surprise
This gift is such a wonderful surprise. Seriously.,surprise
I’m just reading a book now. This just happened.,neutral
I'm furious about how they treated me.!,anger
She wore a red dress to the event. I feel overwhelmed.,neutral
I feel so ashamed of myself. That really hit me.,shame
I had cereal for breakfast today. No way!,neutral
What if I fail the exam tomorrow? No way!,fear
I just want to be alone and cry.,sadness
What if I fail the exam tomorrow?!,fear
That was completely unfair and wrong. No way!,anger
I'm mad at myself for forgetting that. I'm speechless.,anger
I feel embarrassed about what I did. It left me stunned.,shame
"Wow, I didn’t expect that at all! I couldn't believe it.",surprise
Why do people always interrupt me? Honestly.,anger
She wore a red dress to the event. I feel overwhelmed.,neutral
What if I fail the exam tomorrow? I still can't believe it.,fear
"Wow, I didn’t expect that at all!!",surprise
I had cereal for breakfast today. I'm not joking.,neutral
This surprise party is amazing! Honestly.,joy
The weather is moderate and cloudy. No way!,neutral
Laughing with friends is the best feeling. It was unexpected.,joy
What a beautiful sunny day! I'm telling the truth.,joy
What if I fail the exam tomorrow? That really hit me.,fear
The sight of that was revolting.!,disgust
This gift is such a wonderful surprise.,surprise
Why do people always interrupt me? Can you believe it?,anger
This situation makes me sick..,disgust
I’m just reading a book now. I couldn't believe it.,neutral
I wish I could take back my words. This just happened.,shame
I just got a promotion at work! I couldn't believe it.,joy
This gift is such a wonderful surprise. It really happened.,surprise
The meeting is scheduled at 3 PM. I still can't believe it.,neutral
I had cereal for breakfast today. It was unexpected.,neutral
That’s the most disgusting thing ever. This just happened.,disgust
The sight of that was revolting. It was unexpected.,disgust
This is so frustrating and annoying! I'm speechless.,anger
I had cereal for breakfast today.,neutral
This situation makes me sick. It was unexpected.,disgust
I had no idea you were coming! It really happened.,surprise
That food smelled terrible.,disgust
I just got a promotion at work! I'm speechless.,joy
The weather is moderate and cloudy. I feel overwhelmed.,neutral
I'm really scared of the dark. This just happened.,fear
I'm really scared of the dark. Seriously.,fear
I had no idea you were coming! I couldn't believe it.,surprise
I'm really scared of the dark. I still can't believe it.,fear
That was completely unfair and wrong. It was unexpected.,anger
That food smelled terrible. I'm telling the truth.,disgust
I'm really scared of the dark. Seriously.,fear
The weather is moderate and cloudy. It left me stunned.,neutral
I'm really scared of the dark. That really hit me.,fear
Nothing seems to cheer me up lately. Seriously.,sadness
I can't believe I acted like that. I couldn't believe it.,shame
That's unbelievable news! Seriously.,surprise
My best friend moved away. I couldn't believe it.,sadness
I'm afraid of what might happen next. It really happened.,fear
The thought of losing my job terrifies me. Can you believe it?,fear
Everyone was watching when I slipped. It left me stunned.,shame
I'm afraid of what might happen next. It left me stunned.,fear
That's unbelievable news! This just happened.,surprise
I’m just reading a book now. I'm still processing it.,neutral
The weather is moderate and cloudy. No way!,neutral
The thought of losing my job terrifies me.,fear
This gift is such a wonderful surprise. It's real.,surprise
That food smelled terrible. Seriously.,disgust
I just got a promotion at work! I'm not joking.,joy
Laughing with friends is the best feeling. I couldn't believe it.,joy
Everyone was watching when I slipped. It really happened.,shame
She wore a red dress to the event. I couldn't believe it.,neutral
This gift is such a wonderful surprise. I'm not joking.,surprise
I had cereal for breakfast today. This just happened.,neutral
You threw me a party? I'm shocked!.,surprise
I feel embarrassed about what I did. I'm not joking.,shame
I'm really scared of the dark. I'm telling the truth.,fear
Why do people always interrupt me? Seriously.,anger
This situation makes me sick. I'm speechless.,disgust
What a beautiful sunny day! Seriously.,joy
You threw me a party? I'm shocked! It was unexpected.,surprise
The sight of that was revolting. I'm still processing it.,disgust
Nothing seems to cheer me up lately. Honestly.,sadness
I'm furious about how they treated me. It was unexpected.,anger
This surprise party is amazing! I'm not joking.,joy
I had no idea you were coming! It was unexpected.,surprise
What if I fail the exam tomorrow? I still can't believe it.,fear
Why do people always interrupt me? It left me stunned.,anger
I'm really scared of the dark. It really happened.,fear
I just want to be alone and cry. I'm telling the truth.,sadness
The sight of that was revolting. Can you believe it?,disgust
I can't believe I acted like that. It was unexpected.,shame
I can't stand people who lie. I'm telling the truth.,disgust
I feel embarrassed about what I did. It left me stunned.,shame
That was completely unfair and wrong.!,anger
I'm mad at myself for forgetting that..,anger
I can't breathe when I'm anxious. It left me stunned.,fear
I just want to be alone and cry. I'm speechless.,sadness
That was completely unfair and wrong. I'm telling the truth.,anger
I can't breathe when I'm anxious. I feel overwhelmed.,fear
That was completely unfair and wrong. I'm still processing it.,anger
This situation makes me sick. I'm still processing it.,disgust
I miss my family so much. It really happened.,sadness
That was completely unfair and wrong. This just happened.,anger
My best friend moved away. This just happened.,sadness
I can't breathe when I'm anxious. I couldn't believe it.,fear
That’s the most disgusting thing ever. I still can't believe it.,disgust
I'm furious about how they treated me. It's real.,anger
That’s the most disgusting thing ever. It's real.,disgust
I can't breathe when I'm anxious. Honestly.,fear
I'm really scared of the dark. I'm still processing it.,fear
The weather is moderate and cloudy.!,neutral
I'm mad at myself for forgetting that. I feel overwhelmed.,anger
What a beautiful sunny day! Honestly.,joy
I just got a promotion at work! I'm not joking.,joy
The sight of that was revolting. No way!,disgust
Laughing with friends is the best feeling. I feel overwhelmed.,joy
This surprise party is amazing! I'm speechless.,joy
That was completely unfair and wrong. I'm speechless.,anger
The meeting is scheduled at 3 PM. I'm still processing it.,neutral
You threw me a party? I'm shocked! I'm still processing it.,surprise
I'm so proud of my accomplishments. Honestly.,joy
That’s the most disgusting thing ever. It's real.,disgust
I feel embarrassed about what I did. I'm telling the truth.,shame
I can't breathe when I'm anxious. It's real.,fear
I feel so ashamed of myself. I feel overwhelmed.,shame
What a beautiful sunny day! I'm telling the truth.,joy
I'm mad at myself for forgetting that.!,anger
I'm afraid of what might happen next. Seriously.,fear
Everyone was watching when I slipped. It left me stunned.,shame
I just want to be alone and cry. It's real.,sadness
I can't believe I acted like that. I'm speechless.,shame
Nothing seems to cheer me up lately. It really happened.,sadness
I miss my family so much. I'm still processing it.,sadness
Laughing with friends is the best feeling. I'm not joking.,joy
This gift is such a wonderful surprise. I still can't believe it.,surprise
Laughing with friends is the best feeling. I feel overwhelmed.,joy
I can't breathe when I'm anxious. It left me stunned.,fear
That's unbelievable news! Can you believe it?,surprise
The meeting is scheduled at 3 PM. I'm telling the truth.,neutral
This surprise party is amazing! I'm telling the truth.,joy
That was completely unfair and wrong. This just happened.,anger
The weather is moderate and cloudy. That really hit me.,neutral
Laughing with friends is the best feeling. Honestly.,joy
Today has been really hard for me. It was unexpected.,sadness
That's unbelievable news! It left me stunned.,surprise
Today has been really hard for me. I feel overwhelmed.,sadness
I just want to be alone and cry.,sadness
The meeting is scheduled at 3 PM. I'm speechless.,neutral
I'm really scared of the dark. I'm telling the truth.,fear
I'm so proud of my accomplishments. That really hit me.,joy
I'm really scared of the dark. I still can't believe it.,fear
Today has been really hard for me. Can you believe it?,sadness
The thought of losing my job terrifies me. I'm not joking.,fear
I'm really scared of the dark. I feel overwhelmed.,fear
Nothing seems to cheer me up lately. I'm telling the truth.,sadness
I'm so proud of my accomplishments. I'm speechless.,joy
The weather is moderate and cloudy. Seriously.,neutral
What a beautiful sunny day!.,joy
I feel embarrassed about what I did. I still can't believe it.,shame
I feel so ashamed of myself. I'm still processing it.,shame
What if I fail the exam tomorrow? That really hit me.,fear
I can't breathe when I'm anxious. This just happened.,fear
That food smelled terrible. It left me stunned.,disgust
That food smelled terrible.,disgust
That food smelled terrible. It left me stunned.,disgust
Nothing seems to cheer me up lately. I'm speechless.,sadness
That's unbelievable news! It really happened.,surprise
What a beautiful sunny day!.,joy
That was completely unfair and wrong. I'm telling the truth.,anger
I feel so ashamed of myself. I couldn't believe it.,shame
Nothing seems to cheer me up lately. That really hit me.,sadness
The thought of losing my job terrifies me. I feel overwhelmed.,fear
I just got a promotion at work! It was unexpected.,joy
I can't breathe when I'm anxious. I couldn't believe it.,fear
Nothing seems to cheer me up lately. No way!,sadness
I'm furious about how they treated me. No way!,anger
What if I fail the exam tomorrow?!,fear
I'm so proud of my accomplishments.,joy
I'm mad at myself for forgetting that. Can you believe it?,anger
I can't believe I acted like that. I'm speechless.,shame
I had no idea you were coming! I'm not joking.,surprise
My best friend moved away. I still can't believe it.,sadness
I had no idea you were coming! It's real.,surprise
What if I fail the exam tomorrow? I feel overwhelmed.,fear
You threw me a party? I'm shocked! That really hit me.,surprise
The sight of that was revolting. I feel overwhelmed.,disgust
I'm furious about how they treated me. I'm still processing it.,anger
I just want to be alone and cry. I still can't believe it.,sadness
I feel embarrassed about what I did. I'm telling the truth.,shame
You threw me a party? I'm shocked! That really hit me.,surprise
That food smelled terrible. I'm speechless.,disgust
That was completely unfair and wrong. No way!,anger
What a beautiful sunny day! I'm still processing it.,joy
That's unbelievable news! I still can't believe it.,surprise
This gift is such a wonderful surprise. Honestly.,surprise
I just got a promotion at work! No way!,joy
That’s the most disgusting thing ever. I'm speechless.,disgust
I can't believe I acted like that. I'm telling the truth.,shame
I just got a promotion at work! That really hit me.,joy
My best friend moved away. It was unexpected.,sadness
Everyone was watching when I slipped. It really happened.,shame
I can't breathe when I'm anxious.!,fear
The weather is moderate and cloudy. I feel overwhelmed.,neutral
I'm furious about how they treated me. I still can't believe it.,anger
Nothing seems to cheer me up lately. I'm still processing it.,sadness
I can't stand people who lie. I couldn't believe it.,disgust
You threw me a party? I'm shocked! I'm not joking.,surprise
I'm furious about how they treated me. I feel overwhelmed.,anger
I had no idea you were coming! This just happened.,surprise
Why do people always interrupt me? It really happened.,anger
I'm mad at myself for forgetting that. That really hit me.,anger
I feel so ashamed of myself. This just happened.,shame
My best friend moved away. I'm not joking.,sadness
I feel embarrassed about what I did. It was unexpected.,shame
She wore a red dress to the event. Can you believe it?,neutral
Why do people always interrupt me? I'm still processing it.,anger
I'm so proud of my accomplishments.,joy
That's unbelievable news! I'm telling the truth.,surprise
I just got a promotion at work!,joy
The meeting is scheduled at 3 PM. This just happened.,neutral
This situation makes me sick. I couldn't believe it.,disgust
I feel embarrassed about what I did. It left me stunned.,shame
I'm afraid of what might happen next. Seriously.,fear
I just got a promotion at work! Seriously.,joy
Nothing seems to cheer me up lately.,sadness
I just want to be alone and cry. It was unexpected.,sadness
I'm really scared of the dark..,fear
What a beautiful sunny day! It really happened.,joy
I can't believe I acted like that. It really happened.,shame
Today has been really hard for me. I'm speechless.,sadness
This situation makes me sick. I'm still processing it.,disgust
I feel embarrassed about what I did. It's real.,shame
The sight of that was revolting.,disgust
I feel embarrassed about what I did. No way!,shame
That was completely unfair and wrong. It left me stunned.,anger
That’s the most disgusting thing ever. I'm telling the truth.,disgust
Today has been really hard for me. Can you believe it?,sadness
I can't believe I acted like that. This just happened.,shame
This surprise party is amazing!,joy
She wore a red dress to the event. It was unexpected.,neutral
That's unbelievable news! It really happened.,surprise
I’m just reading a book now. It was unexpected.,neutral
That was completely unfair and wrong. It really happened.,anger
The thought of losing my job terrifies me.,fear
I just got a promotion at work! It's real.,joy
I can't stand people who lie. I'm not joking.,disgust
I'm furious about how they treated me. It really happened.,anger
I'm so proud of my accomplishments. This just happened.,joy
"Wow, I didn’t expect that at all!",surprise
Why do people always interrupt me? It left me stunned.,anger
I feel so ashamed of myself. This just happened.,shame
That was completely unfair and wrong. Can you believe it?,anger
I just got a promotion at work! Honestly.,joy
That was completely unfair and wrong. Can you believe it?,anger
This gift is such a wonderful surprise. Seriously.,surprise
I just want to be alone and cry. That really hit me.,sadness
I just want to be alone and cry.,sadness
"Wow, I didn’t expect that at all! It really happened.",surprise
Nothing seems to cheer me up lately..,sadness
The sight of that was revolting. It's real.,disgust
What if I fail the exam tomorrow? I'm speechless.,fear
That food smelled terrible. I feel overwhelmed.,disgust
I feel embarrassed about what I did. No way!,shame
That was completely unfair and wrong. No way!,anger
Today has been really hard for me. I couldn't believe it.,sadness
Nothing seems to cheer me up lately. It's real.,sadness
I'm so proud of my accomplishments. It really happened.,joy
That food smelled terrible. No way!,disgust
That’s the most disgusting thing ever. It left me stunned.,disgust
That was completely unfair and wrong. I'm speechless.,anger
I can't believe I acted like that. I still can't believe it.,shame
I feel embarrassed about what I did. It really happened.,shame
I'm furious about how they treated me. No way!,anger
I'm mad at myself for forgetting that. This just happened.,anger
What if I fail the exam tomorrow?,fear
I just want to be alone and cry. I feel overwhelmed.,sadness
That's unbelievable news! This just happened.,surprise
I'm furious about how they treated me. It was unexpected.,anger
This situation makes me sick. Can you believe it?,disgust
I just got a promotion at work! I'm speechless.,joy
I just got a promotion at work! I still can't believe it.,joy
I had no idea you were coming! It left me stunned.,surprise
I feel so ashamed of myself. It really happened.,shame
I'm mad at myself for forgetting that. It really happened.,anger
Why do people always interrupt me? I feel overwhelmed.,anger
I'm mad at myself for forgetting that.,anger
Today has been really hard for me. I'm telling the truth.,sadness
I can't breathe when I'm anxious. It's real.,fear
The thought of losing my job terrifies me. I'm not joking.,fear
I can't believe I acted like that. No way!,shame
I wish I could take back my words. It left me stunned.,shame
I'm furious about how they treated me. Honestly.,anger
The thought of losing my job terrifies me. I'm not joking.,fear
The thought of losing my job terrifies me. I'm speechless.,fear
My best friend moved away. It left me stunned.,sadness
I'm furious about how they treated me.!,anger
The meeting is scheduled at 3 PM..,neutral
I feel so ashamed of myself.,shame
This surprise party is amazing! I'm telling the truth.,joy
I'm afraid of what might happen next. Honestly.,fear
I'm furious about how they treated me. I'm not joking.,anger
This gift is such a wonderful surprise. I'm still processing it.,surprise
The thought of losing my job terrifies me. Seriously.,fear
I’m just reading a book now. It really happened.,neutral
I'm mad at myself for forgetting that. Can you believe it?,anger
Today has been really hard for me. I feel overwhelmed.,sadness
I can't breathe when I'm anxious. I'm telling the truth.,fear
What if I fail the exam tomorrow? That really hit me.,fear
What if I fail the exam tomorrow? I feel overwhelmed.,fear
That’s the most disgusting thing ever.!,disgust
Everyone was watching when I slipped..,shame
This surprise party is amazing! It's real.,joy
I wish I could take back my words. It was unexpected.,shame
"Wow, I didn’t expect that at all! I couldn't believe it.",surprise
The thought of losing my job terrifies me. Seriously.,fear
I feel so ashamed of myself. I'm not joking.,shame
What if I fail the exam tomorrow? I'm telling the truth.,fear
This situation makes me sick. That really hit me.,disgust
What a beautiful sunny day! That really hit me.,joy
Nothing seems to cheer me up lately. This just happened.,sadness
What a beautiful sunny day! Honestly.,joy
Nothing seems to cheer me up lately. I couldn't believe it.,sadness
My best friend moved away. Seriously.,sadness
This situation makes me sick. It's real.,disgust
This situation makes me sick. No way!,disgust
That's unbelievable news! Honestly.,surprise
I just want to be alone and cry.,sadness
What if I fail the exam tomorrow? Seriously.,fear
Everyone was watching when I slipped. It really happened.,shame
Everyone was watching when I slipped. I'm speechless.,shame
Why do people always interrupt me? I'm still processing it.,anger
That was completely unfair and wrong. I'm still processing it.,anger
The sight of that was revolting. Can you believe it?,disgust
I had cereal for breakfast today. No way!,neutral
The sight of that was revolting. I still can't believe it.,disgust
I'm really scared of the dark. Honestly.,fear
That’s the most disgusting thing ever. It really happened.,disgust
The sight of that was revolting. I feel overwhelmed.,disgust
This surprise party is amazing! No way!,joy
